2026-07-26 14:23:14,172 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LCALLIG.TTF', index=0, name='Lucida Calligraphy', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-07-26 14:23:14,172 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\cambriaz.ttf', index=0, name='Cambria', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-07-26 14:23:14,172 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Gabriola.ttf', index=0, name='Gabriola', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,172 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LSANSDI.TTF', index=0, name='Lucida Sans', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2026-07-26 14:23:14,172 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ARLRDBD.TTF', index=0, name='Arial Rounded MT Bold', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,173 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000.
2026-07-26 14:23:14,232 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=8.0.
2026-07-26 14:23:14,232 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', index=0, name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-07-26 14:23:14,232 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', index=0, name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,232 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', index=0, name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\LastResortHE-Regular.ttf', index=0, name='Last Resort High-Efficiency', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', index=0, name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', index=0, name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', index=0, name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', index=0, name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', index=0, name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', index=0, name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', index=0, name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', index=0, name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', index=0, name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', index=0, name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
